,Country,Subcontinent,Region,In EU,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
112,Kyrgyzstan,West & Central Asia,C.W. OF IND. STATES,FALSE,5213898,514113.015,26.27,0,-2.45,35.64,1600,97,84.04,7.3,0.35,92.35,2.5,22.8,7.08,0.353,0.208,0.439
113,Laos,South & South East Asia,ASIA (EX. NEAR EAST),FALSE,6368481,613309.632,26.89,0,0,85.22,1700,66.4,14.14,3.8,0.35,95.85,2,35.49,11.55,0.455,0.287,0.258
114,Latvia,Europe,BALTICS,TRUE,2274735,167284.86411,35.22,0.82,-2.23,9.55,10200,99.8,321.36,29.67,0.47,69.86,3,9.24,13.66,0.04,0.261,0.699
115,Lebanon,West & Central Asia,NEAR EAST,FALSE,3874050,26935.896,372.5,2.16,0,24.52,4800,87.4,255.55,16.62,13.98,69.4,,18.52,6.21,0.12,0.21,0.67
116,Lesotho,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,2022331,78619.14645,66.62,0,-0.74,84.23,3000,84.8,23.73,10.87,0.13,89,3,24.75,28.71,0.163,0.443,0.394
117,Liberia,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,3042004,288447.1863,27.31,0.52,0,128.87,1000,57.5,2.27,3.95,2.28,93.77,2,44.77,23.1,0.769,0.054,0.177
118,Libya,North Africa,NORTHERN AFRICA,FALSE,5900754,4557191.0046,3.35,0.1,0,24.6,6400,82.6,127.1,1.03,0.19,98.78,,26.49,3.48,0.076,0.499,0.425
119,Liechtenstein,Europe,WESTERN EUROPE,FALSE,33987,414.3984,212.42,0,4.85,4.7,25000,100,585.52,25,0,75,4,10.21,7.18,0.06,0.39,0.55
120,Lithuania,Europe,BALTICS,TRUE,3585906,168867.348,55,0.14,-0.71,6.89,11400,99.6,223.4,45.22,0.91,53.87,,8.75,10.98,0.055,0.325,0.62
121,Luxembourg,Europe,WESTERN EUROPE,TRUE,474413,6697.71414,183.45,0,8.97,4.81,55100,100,515.37,23.28,0.4,76.32,,11.94,8.41,0.01,0.13,0.86
122,Macau,East Asia,ASIA (EX. NEAR EAST),FALSE,453125,72.51972,16183.04,146.43,4.86,4.39,19400,94.5,384.88,0,0,100,2,8.48,4.47,0.001,0.072,0.927
123,Macedonia,Europe,EASTERN EUROPE,FALSE,2050554,65612.21667,80.94,0,-1.45,10.09,6700,,260.03,22.26,1.81,75.93,3,12.02,8.77,0.118,0.319,0.563
124,Madagascar,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,18595469,1520427.7296,31.68,0.82,0,76.83,800,68.9,3.6,5.07,1.03,93.91,2,41.41,11.11,0.276,0.165,0.559
125,Malawi,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,13013926,306862.0152,109.84,0,0,103.32,600,62.7,7.89,23.38,1.49,75.13,2,43.13,19.33,0.342,0.158,0.499
126,Malaysia,South & South East Asia,ASIA (EX. NEAR EAST),FALSE,24385858,854049.2025,73.95,1.42,0,17.7,9000,88.7,179.04,5.48,17.61,76.91,2,22.86,5.05,0.084,0.48,0.436
127,Maldives,South & South East Asia,ASIA (EX. NEAR EAST),FALSE,359008,776.997,1196.69,214.67,0,56.52,3900,97.2,89.97,13.33,16.67,70,2,34.81,7.06,0.2,0.18,0.62
128,Mali,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,11716829,3211587.6,9.45,0,-0.33,116.79,900,46.4,6.4,3.82,0.03,96.15,2,49.82,16.89,0.45,0.17,0.38
129,Malta,Europe,WESTERN EUROPE,TRUE,400214,818.43684,1266.5,62.28,2.07,3.89,17700,92.8,504.98,28.13,3.13,68.74,,10.22,8.1,0.03,0.23,0.74
130,Marshall Islands,Oceania,OCEANIA,FALSE,60422,30701.74146,5.1,3.12,-6.04,29.45,1600,93.7,91.19,16.67,38.89,44.44,2,33.05,4.78,0.317,0.149,0.534
131,Martinique,Caribbean Islands,LATIN AMER. & CARIB,FALSE,436131,2848.989,396.48,31.82,-0.05,7.09,14400,97.7,394.38,10.38,9.43,80.19,2,13.74,6.48,0.06,0.11,0.83
132,Mauritania,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,3177388,2669502.693,3.08,0.07,0,70.89,1800,41.7,12.9,0.48,0.01,99.51,1,40.99,12.16,0.25,0.29,0.46
133,Mauritius,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,1240827,5283.5796,608.25,8.68,-0.9,15.03,11400,85.6,289.32,49.26,2.96,47.78,2,15.43,6.86,0.059,0.298,0.643
134,Mayotte,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,201234,968.65626,538.06,49.52,6.78,62.4,2600,,49.69,,,,2,40.95,7.7,,,
135,Mexico,Mesoamerica,LATIN AMER. & CARIB,FALSE,107449525,5108884.7745,54.47,0.47,-4.87,20.91,9000,92.2,181.59,12.99,1.31,85.7,1.5,20.69,4.74,0.038,0.259,0.702
136,"Micronesia, Fed. St.",Oceania,OCEANIA,FALSE,108004,1818.17298,153.85,870.66,-20.99,30.21,2000,89,114.81,5.71,45.71,48.58,2,24.68,4.75,0.289,0.152,0.559
137,Moldova,North Asia,C.W. OF IND. STATES,FALSE,4466706,87653.03157,131.98,0,-0.26,40.42,1800,99.1,208.07,55.3,10.79,33.91,,15.7,12.64,0.213,0.233,0.555
138,Monaco,Europe,WESTERN EUROPE,FALSE,32543,5.17998,16271.5,205,7.75,5.43,27000,99,1035.55,0,0,100,,9.19,12.91,0.17,,
139,Mongolia,East Asia,ASIA (EX. NEAR EAST),FALSE,2832224,4051044.79884,1.81,0,0,53.79,1800,97.8,55.08,0.77,0,99.23,1,21.59,6.95,0.206,0.214,0.58
140,Montserrat,Caribbean Islands,LATIN AMER. & CARIB,FALSE,9439,264.17898,92.54,39.22,0,7.35,3400,97,,20,0,80,2,17.59,7.1,,,
141,Morocco,North Africa,NORTHERN AFRICA,FALSE,33241259,1156560.0345,74.44,0.41,-0.98,41.62,4000,51.7,40.35,19.61,2.17,78.22,,21.98,5.58,0.217,0.357,0.426
142,Mozambique,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,19686505,2076110.0841,24.56,0.31,0,130.79,1200,47.8,3.54,5.1,0.3,94.6,2,35.18,21.35,0.262,0.348,0.39
143,Namibia,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,2044147,2137824.36582,2.48,0.19,0,48.98,7200,84,62.57,0.99,0,99.01,1,24.32,18.86,0.097,0.315,0.588
144,Nauru,Oceania,OCEANIA,FALSE,13287,54.38979,632.71,142.86,0,9.95,5000,,143,0,0,100,2,24.76,6.7,,,
145,Nepal,South & South East Asia,ASIA (EX. NEAR EAST),FALSE,28287147,381197.31819,192.19,0,0,66.98,1400,45.2,15.86,21.68,0.64,77.68,,30.98,9.31,0.38,0.21,0.41
146,Netherlands,Europe,WESTERN EUROPE,TRUE,16491461,107551.92474,397.14,1.09,2.91,5.04,28600,99,460.84,26.71,0.97,72.32,3,10.9,8.68,0.021,0.244,0.736
147,Netherlands Antilles,Caribbean Islands,LATIN AMER. & CARIB,FALSE,221736,2486.3904,230.98,37.92,-0.41,10.03,11400,96.7,365.3,10,0,90,2,14.78,6.45,0.01,0.15,0.84
148,New Caledonia,Oceania,OCEANIA,FALSE,219246,49365.2094,11.5,11.83,0,7.72,15000,91,252.23,0.38,0.33,99.29,2,18.11,5.69,0.15,0.088,0.762
149,New Zealand,Oceania,OCEANIA,FALSE,4076140,695878.5132,15.17,5.63,4.05,5.85,21600,99,441.72,5.6,6.99,87.41,3,13.76,7.53,0.043,0.273,0.684
150,Nicaragua,Mesoamerica,LATIN AMER. & CARIB,FALSE,5570129,335388.16506,43.01,0.7,-1.22,29.11,2300,67.5,39.66,15.94,1.94,82.12,2,24.51,4.45,0.165,0.275,0.56
151,Niger,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,12525094,3281517.33,9.89,0,-0.67,121.69,800,17.6,1.92,3.54,0.01,96.45,1,50.73,20.91,0.39,0.17,0.44
152,Nigeria,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,131859731,2392549.88232,142.74,0.09,0.26,98.8,900,68,9.28,31.29,2.96,65.75,1.5,40.43,16.94,0.269,0.487,0.244
153,N. Mariana Islands,Oceania,OCEANIA,FALSE,82459,1235.42523,172.87,310.69,9.61,7.11,12500,97,254.67,13.04,4.35,82.61,2,19.43,2.29,,,
154,Norway,Europe,WESTERN EUROPE,FALSE,4610820,838643.94198,14.24,7.77,1.74,3.7,37800,100,461.74,2.87,0,97.13,3,11.46,9.4,0.021,0.415,0.564
155,Oman,West & Central Asia,NEAR EAST,FALSE,3102229,550269.2754,14.6,0.98,0.28,19.51,13100,75.8,85.49,0,0.14,99.74,1,36.24,3.81,0.027,0.39,0.583
156,Pakistan,West & Central Asia,ASIA (EX. NEAR EAST),FALSE,165803560,2082196.5606,206.24,0.13,-2.77,72.44,2100,45.7,31.83,27.87,0.87,71.26,1,29.74,8.23,0.216,0.251,0.533
157,Palau,Oceania,OCEANIA,FALSE,20579,1186.21542,44.93,331.66,2.85,14.84,9000,92,325.57,8.7,4.35,86.95,2,18.03,6.8,0.062,0.12,0.818
158,Panama,Mesoamerica,LATIN AMER. & CARIB,FALSE,3191319,202537.218,40.81,3.18,-0.91,20.47,6300,92.6,137.91,7.36,1.98,90.66,2,21.74,5.36,0.068,0.156,0.776
159,Papua New Guinea,Oceania,OCEANIA,FALSE,5670544,1198750.9716,12.25,1.11,0,51.45,2200,64.6,10.93,0.46,1.44,98.1,2,29.36,7.25,0.353,0.381,0.266
160,Paraguay,South America,LATIN AMER. & CARIB,FALSE,6506464,1053478.4325,16,0,-0.08,25.63,4700,94,49.23,7.6,0.23,92.17,2,29.1,4.49,0.224,0.207,0.569
161,Peru,South America,LATIN AMER. & CARIB,FALSE,28302603,3328706.9478,22.02,0.19,-1.05,31.94,5100,90.9,79.52,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65
162,Philippines,South & South East Asia,ASIA (EX. NEAR EAST),FALSE,89468677,776997,298.23,12.1,-1.5,23.51,4600,92.6,38.42,18.95,16.77,64.28,2,24.89,5.41,0.144,0.326,0.53
163,Poland,Europe,EASTERN EUROPE,TRUE,38536869,809851.02315,123.25,0.16,-0.49,8.51,11100,99.8,306.28,45.91,1.12,52.97,3,9.85,9.89,0.05,0.311,0.64
164,Portugal,Europe,WESTERN EUROPE,TRUE,10605870,239291.76609,114.79,1.94,3.57,5.05,18000,93.3,399.21,21.75,7.81,70.44,3,10.72,10.5,0.053,0.274,0.673
165,Puerto Rico,Caribbean Islands,LATIN AMER. & CARIB,FALSE,3927188,35715.9621,284.79,3.63,-1.46,8.24,16800,94.1,283.13,3.95,5.52,90.53,2,12.77,7.65,0.01,0.45,0.54
166,Qatar,West & Central Asia,NEAR EAST,FALSE,885359,29621.71563,77.41,4.92,16.29,18.61,21500,82.5,232,1.64,0.27,98.09,1,15.56,4.72,0.002,0.801,0.197
167,Reunion,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,787584,6519.00483,312.91,8.22,0,7.78,5800,88.9,380.91,13.6,1.2,85.2,2,18.9,5.49,0.08,0.19,0.73
168,Romania,Europe,EASTERN EUROPE,TRUE,22303552,615122.625,93.91,0.09,-0.13,26.43,7000,98.4,196.87,40.82,2.25,56.93,3,10.7,11.77,0.101,0.35,0.549
169,Russia,North Asia,C.W. OF IND. STATES,FALSE,142893540,44224597.248,8.37,0.22,1.02,15.39,8900,99.6,280.63,7.33,0.11,92.56,,9.95,14.65,0.054,0.371,0.575
170,Rwanda,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,8648248,68215.15662,328.36,0,0,91.23,1300,70.4,2.66,40.54,12.16,47.3,3,40.37,16.09,0.401,0.229,0.37
171,Saint Helena,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,7502,1069.66587,18.16,14.53,0,19,2500,97,293.26,12.9,0,87.1,,12.13,6.53,,,
172,Saint Kitts & Nevis,Caribbean Islands,LATIN AMER. & CARIB,FALSE,39129,675.98739,149.92,51.72,-7.11,14.49,8800,97,638.91,19.44,2.78,77.78,2,18.02,8.33,0.035,0.258,0.707
173,Saint Lucia,Caribbean Islands,LATIN AMER. & CARIB,FALSE,168458,1595.43384,273.47,25.65,-2.67,13.53,5400,67,303.34,6.56,22.95,70.49,2,19.68,5.08,0.07,0.2,0.73
174,St Pierre & Miquelon,North America,NORTHERN AMERICA,FALSE,7026,626.77758,29.03,49.59,-4.86,7.54,6900,99,683.18,13.04,0,86.96,,13.52,6.83,,,
175,Saint Vincent and the Grenadines,Caribbean Islands,LATIN AMER. & CARIB,FALSE,117848,1007.50611,302.95,21.59,-7.64,14.78,2900,96,190.92,17.95,17.95,64.1,2,16.18,5.98,0.1,0.26,0.64
176,Samoa,Oceania,OCEANIA,FALSE,176908,7624.93056,60.09,13.69,-11.7,27.71,5600,99.7,75.18,21.2,24.38,54.42,2,16.43,6.62,0.114,0.584,0.302
177,San Marino,Europe,WESTERN EUROPE,FALSE,29251,157.98939,479.52,0,10.98,5.73,34600,96,704.25,16.67,0,83.33,,10.02,8.17,,,
178,Sao Tome & Principe,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,193413,2592.57999,193.22,20.88,-2.72,43.11,1200,79.3,36.19,6.25,48.96,44.79,2,40.25,6.47,0.167,0.148,0.684
179,Saudi Arabia,West & Central Asia,NEAR EAST,FALSE,27019731,5077887.77418,13.78,0.13,-2.71,13.24,11800,78.8,140.64,1.67,0.09,98.24,1,29.34,2.58,0.033,0.613,0.354
180,Senegal,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,11987121,508130.1381,61.1,0.27,0.2,55.51,1600,40.2,22.24,12.78,0.21,87.01,2,32.78,9.42,0.172,0.209,0.619
181,Serbia,Europe,EASTERN EUROPE,FALSE,9396411,228854.10639,106.34,0,-1.33,12.89,2200,93,285.79,33.35,3.2,63.45,,,,0.166,0.255,0.579
182,Seychelles,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,81541,1178.44545,179.21,107.91,-5.69,15.53,7800,58,262.44,2.22,13.33,84.45,2,16.03,6.29,0.032,0.304,0.665
183,Sierra Leone,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,6005250,185805.8826,83.71,0.56,0,143.64,500,31.4,4,6.98,0.89,92.13,2,45.76,23.03,0.49,0.31,0.21
184,Singapore,South & South East Asia,ASIA (EX. NEAR EAST),FALSE,4492150,1794.86307,6482.18,27.85,11.53,2.29,23700,92.5,411.38,1.64,0,98.36,2,9.34,4.28,0,0.339,0.661
185,Slovakia,Europe,EASTERN EUROPE,TRUE,5439448,126508.06155,111.36,0,0.3,7.41,13300,,220.06,30.16,2.62,67.22,3,10.65,9.45,0.035,0.294,0.672
186,Slovenia,Europe,EASTERN EUROPE,TRUE,2010347,52506.86727,99.16,0.23,1.12,4.45,19000,99.7,406.1,8.6,1.49,89.91,,8.98,10.31,0.028,0.369,0.603
187,Solomon Islands,Oceania,OCEANIA,FALSE,552438,73685.2155,19.42,18.67,0,21.29,1700,,13.4,0.64,2,97.36,2,30.01,3.92,0.42,0.11,0.47
188,Somalia,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,8863338,1651525.25343,13.9,0.47,5.37,116.7,500,37.8,11.28,1.67,0.04,98.29,1,45.13,16.63,0.65,0.1,0.25
189,South Africa,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,44187637,3159559.88088,36.22,0.23,-0.29,61.81,10700,86.4,107.02,12.08,0.79,87.13,1,18.2,22,0.025,0.303,0.671
190,Spain,Europe,WESTERN EUROPE,TRUE,40397842,1307380.33218,80.03,0.98,0.99,4.42,22000,97.9,453.54,26.07,9.87,64.06,3,10.06,9.72,0.04,0.295,0.665
191,Sri Lanka,South & South East Asia,ASIA (EX. NEAR EAST),FALSE,20222240,169929.2439,308.22,2.04,-1.31,14.35,3700,92.3,61.52,13.86,15.7,70.44,2,15.51,6.52,0.178,0.276,0.545
192,Sudan,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,41236378,6490022.8419,16.46,0.03,-0.02,62.5,1900,61.1,16.25,6.83,0.18,92.99,2,34.53,8.97,0.387,0.203,0.41
193,Suriname,South America,LATIN AMER. & CARIB,FALSE,439117,422867.6673,2.69,0.24,-8.81,23.57,4000,93,184.69,0.37,0.06,99.57,2,18.02,7.27,0.13,0.22,0.65
194,Swaziland,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,1136334,44969.99637,65.45,0,0,69.27,4900,81.6,30.8,10.35,0.7,88.95,2.5,27.41,29.74,0.119,0.515,0.366
195,Sweden,Europe,WESTERN EUROPE,TRUE,9016596,1165402.26036,20.04,0.72,1.67,2.77,26800,99,715.01,6.54,0.01,93.45,3,10.27,10.31,0.011,0.282,0.707
196,Switzerland,Europe,WESTERN EUROPE,FALSE,7523934,106940.6871,182.22,0,4.05,4.39,32700,99,680.89,10.42,0.61,88.97,3,9.71,8.49,0.015,0.34,0.645
197,Syria,West & Central Asia,NEAR EAST,FALSE,18881361,479614.3482,101.96,0.1,0,29.53,3300,76.9,153.75,25.22,4.43,70.35,1,27.76,4.81,0.249,0.23,0.519
198,Taiwan,East Asia,ASIA (EX. NEAR EAST),FALSE,23036087,93187.8402,640.25,4.35,0,6.4,23400,96.1,591.03,24,1,75,2,12.56,6.48,0.018,0.259,0.723
199,Tajikistan,West & Central Asia,C.W. OF IND. STATES,FALSE,7320815,370627.569,51.16,0,-2.86,110.76,1000,99.4,33.49,6.61,0.92,92.47,2,32.65,8.25,0.234,0.286,0.48
200,Tanzania,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,37445392,2447765.87913,39.62,0.15,-2.06,98.54,600,78.2,3.96,4.52,1.08,94.4,,37.71,16.39,0.432,0.172,0.396
201,Thailand,South & South East Asia,ASIA (EX. NEAR EAST),FALSE,64631595,1331254.86,125.74,0.63,0,20.48,7400,92.6,108.85,29.36,6.46,64.18,2,13.87,7.04,0.099,0.441,0.46
202,Togo,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,5548702,147072.58215,97.71,0.1,0,66.61,1500,60.9,10.56,46.15,2.21,51.64,2,37.01,9.83,0.395,0.204,0.401
203,Tonga,Oceania,OCEANIA,FALSE,114689,1937.31252,153.33,56.02,0,12.62,2200,98.5,97.66,23.61,43.06,33.33,2,25.37,5.28,0.23,0.27,0.5
204,Trinidad & Tobago,Caribbean Islands,LATIN AMER. & CARIB,FALSE,1065842,13281.46872,207.85,7.06,-10.83,24.31,9500,98.6,303.52,14.62,9.16,76.22,2,12.9,10.57,0.007,0.57,0.423
205,Tunisia,North Africa,NORTHERN AFRICA,FALSE,10175014,423748.2639,62.19,0.7,-0.57,24.77,6900,74.2,123.59,17.86,13.74,68.4,3,15.52,5.13,0.132,0.318,0.55
206,Turkey,West & Central Asia,NEAR EAST,FALSE,70413958,2021694.3942,90.21,0.92,0,41.04,6700,86.5,269.52,30.93,3.31,65.76,3,16.62,5.97,0.117,0.298,0.585
207,Turkmenistan,West & Central Asia,C.W. OF IND. STATES,FALSE,5042920,1264174.119,10.33,0,-0.86,73.08,5800,98,74.58,3.72,0.14,96.14,1,27.61,8.6,0.209,0.38,0.411
208,Turks & Caicos Is,Caribbean Islands,LATIN AMER. & CARIB,FALSE,21152,1113.6957,49.19,90.47,11.68,15.67,9600,98,269.48,2.33,0,97.67,2,21.84,4.21,,,
209,Tuvalu,Oceania,OCEANIA,FALSE,11810,67.33974,454.23,92.31,0,20.03,1100,,59.27,0,0,100,2,22.18,7.11,0.166,0.272,0.562
210,Uganda,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,28195754,611341.2396,119.45,0,0,67.83,1400,69.9,3.58,25.88,10.65,63.47,2,47.35,12.24,0.311,0.222,0.469
211,Ukraine,North Asia,C.W. OF IND. STATES,FALSE,46710816,1563576.963,77.37,0.46,-0.39,20.34,5400,99.7,259.94,56.21,1.61,42.18,3,8.82,14.39,0.187,0.452,0.361
212,United Arab Emirates,West & Central Asia,NEAR EAST,FALSE,2602713,214658.3712,31.4,1.59,1.03,14.51,23200,77.9,475.27,0.6,2.25,97.15,1,18.96,4.4,0.04,0.585,0.375
213,United Kingdom,Europe,WESTERN EUROPE,TRUE,60609153,634081.3518,247.57,5.08,2.19,5.16,27700,99,543.53,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758
214,United States,North America,NORTHERN AMERICA,FALSE,298444215,24945281.4858,30.99,0.21,3.41,6.5,37800,97,897.99,19.13,0.22,80.65,3,14.14,8.26,0.01,0.204,0.787
215,Uruguay,South America,LATIN AMER. & CARIB,FALSE,3431932,456408.0378,19.48,0.37,-0.32,11.95,12800,98,291.38,7.43,0.23,92.34,3,13.91,9.05,0.093,0.311,0.596
216,Uzbekistan,West & Central Asia,C.W. OF IND. STATES,FALSE,27307134,1158761.526,61.04,0,-1.72,71.1,1700,99.3,62.88,10.83,0.83,88.34,1,26.36,7.84,0.342,0.229,0.43
217,Vanuatu,Oceania,OCEANIA,FALSE,208869,31597.878,17.12,20.72,0,55.16,2900,53,32.56,2.46,7.38,90.16,2,22.72,7.82,0.26,0.12,0.62
218,Venezuela,South America,LATIN AMER. & CARIB,FALSE,25730435,2362200.3795,28.21,0.31,-0.04,22.2,4800,93.4,140.13,2.95,0.92,96.13,2,18.71,4.92,0.04,0.419,0.541
219,Vietnam,South & South East Asia,ASIA (EX. NEAR EAST),FALSE,84402966,853557.1044,256.11,1.05,-0.45,25.95,2500,90.3,187.73,19.97,5.95,74.08,2,16.86,6.22,0.209,0.41,0.381
220,Virgin Islands,Caribbean Islands,LATIN AMER. & CARIB,FALSE,108605,4946.8809,56.86,9.84,-8.94,8.03,17200,,652.82,11.76,2.94,85.3,2,13.96,6.43,0.01,0.19,0.8
221,Wallis and Futuna,Oceania,OCEANIA,FALSE,16025,709.65726,58.49,47.08,,,3700,50,118.56,5,25,70,2,,,,,
222,West Bank,West & Central Asia,NEAR EAST,FALSE,2460492,15177.3414,419.88,0,2.98,19.62,800,,145.21,16.9,18.97,64.13,3,31.67,3.92,0.09,0.28,0.63
223,Western Sahara,North Africa,NORTHERN AFRICA,FALSE,273008,688937.34,1.03,0.42,,,,,,0.02,0,99.98,1,,,,,0.4
224,Yemen,West & Central Asia,NEAR EAST,FALSE,21456188,1367437.0203,40.64,0.36,0,61.5,800,50.2,37.2,2.78,0.24,96.98,1,42.89,8.3,0.135,0.472,0.393
225,Zambia,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,11502010,1949262.73386,15.28,0,0,88.29,800,80.6,8.23,7.08,0.03,92.9,2,41,19.93,0.22,0.29,0.489
226,Zimbabwe,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,12236805,1011598.2942,31.33,0,0,67.69,1900,90.7,26.8,8.32,0.34,91.34,2,28.01,21.84,0.179,0.243,0.579
